Trainer,Multi?,Route,Combined Name,Pokemon 1,Move 1,Move 2,Move 3,Move 4,Pokemon 2,Move 1,Move 2,Move 3,Move 4,Pokemon 3,Move 1,Move 2,Move 3,Move 4,Pokemon 4,Move 1,Move 2,Move 3,Move 4,Pokemon 5,Move 1,Move 2,Move 3,Move 4,Pokemon 6,Move 1,Move 2,Move 3,Move 4,Double?,P1 Item,P1 Nature,P1 IV,P1 Lvl,P2 Item,P2 Nature,P2 IV,P2 Lvl,P3 Item,P3 Nature,P3 IV,P3 Lvl,P4 Item,P4 Nature,P4 IV,P4 Lvl,P5 Item,P5 Nature,P5 IV,P5 Lvl,P6 Item,P6 Nature,P6 IV,P6 Lvl
SwimmerF Susie,FALSE,Route 131,SwimmerF Susie - Route 131,Wigglytuff,Sing,Brick Break,Hyper Voice,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Naive,31,67,,,,,,,,,,,,,,,,,,,,
Sis and Bro Reli & Ian,FALSE,Route 131,Sis and Bro Reli & Ian - Route 131,Azumarill,Ice Beam,Double-Edge,Superpower,Hydro Pump,Furret,Shadow Ball,Hyper Voice,Super Fang,Quick Attack,,,,,,,,,,,,,,,,,,,,,TRUE,,Modest,31,65,,Naughty,31,65,,,,,,,,,,,,,,,,
Beauty Connie,FALSE,Sootopolis Gym,Beauty Connie - Sootopolis Gym,Qwilfish,Sludge Bomb,Endure,Explosion,Shadow Ball,Seaking,Megahorn,Drill Run,Return,Hydro Pump,Manectric,Thunder,Quick Attack,Crunch,Signal Beam,Whiscash,Dragon Dance,Earthquake,Muddy Water,Rock Slide,Masquerain,Hydro Pump,Signal Beam,Ice Beam,Giga Drain,Mawile,Sing,Rock Slide,Brick Break,Shadow Ball,FALSE,Liechi Berry,Sassy,31,70,Lum Berry,Hasty,31,74,Lum Berry,Brave,31,70,Lum Berry,Lonely,31,73,Lum Berry,Hardy,31,72,Lum Berry,Bold,31,71
Pkmn Ranger Andrea,FALSE,Sootopolis Gym,Pkmn Ranger Andrea - Sootopolis Gym,Venusaur,Sleep Powder,Leaf Blade,Weather Ball (Water),Ancientpower,Huntail,Muddy Water,Double-Edge,Ice Beam,Confuse Ray,Glalie,Weather Ball (Water),Ice Beam,Earthquake,Ice Shard,Lanturn,Thunder,Surf,Ice Beam,Confuse Ray,Pinsir,Signal Beam,Earthquake,Rock Slide,Brick Break,Pelipper,Hydro Pump,Ice Beam,HP Electric,Air Slash,FALSE,Lum Berry,Adamant,31,70,Lum Berry,Naughty,31,73,Lum Berry,Bold,31,71,Lum Berry,Gentle,31,72,Lum Berry,Hardy,31,70,Lum Berry,Calm,31,74
Parasol Lady Daphne,FALSE,Sootopolis Gym,Parasol Lady Daphne - Sootopolis Gym,Porygon2,Thunder,Recover,Ice Beam,Tri Attack,Politoed,Hypnosis,Surf,Belly Drum,Return,Victreebel,Weather Ball (Water),Leaf Blade,Gunk Shot,Sleep Powder,Whiscash,Dragon Dance,Earthquake,Ancientpower,Return,Walrein,Ice Beam,Surf,Earthquake,Ice Shard,Ampharos,Thunder,Signal Beam,HP Water,Brick Break,FALSE,Leftovers,Naughty,31,70,Lum Berry,Quiet,31,72,Lum Berry,Quiet,31,71,Lum Berry,Rash,31,74,Lum Berry,Relaxed,31,73,Lum Berry,Modest,31,71
Pokéfan Bethany,FALSE,Sootopolis Gym,Pokéfan Bethany - Sootopolis Gym,Jolteon,Substitute,Thunder,Baton Pass,Bite,Politoed,Surf,Ice Beam,Hypnosis,Earthquake,Clefable,Thunder,Ice Beam,Psychic,Brick Break,Meganium,Giga Drain,Earthquake,Ancientpower,Synthesis,Dewgong,Attract,Drill Run,Surf,Ice Beam,Quagsire,Earthquake,Sludge Bomb,Ice Beam,Hydro Pump,FALSE,Petaya Berry,Modest,31,70,Lum Berry,Hardy,31,74,Lum Berry,Sassy,31,71,Leftovers,Timid,31,71,Lum Berry,Lax,31,73,Leftovers,Hardy,31,73
Triathlete Brianna,FALSE,Sootopolis Gym,Triathlete Brianna - Sootopolis Gym,Electrode,Thunder,Substitute,Explosion,Endure,Octillery,Water Spout,Ice Beam,Return,Gunk Shot,Sceptile,Leaf Blade,Dragon Claw,Thunderpunch,Earthquake,Golduck,Hypnosis,Hydro Pump,Ice Beam,Cross Chop,Magneton,Thunder,Substitute,Flash Cannon,Explosion,Starmie,Thunder,Psychic,Hydro Pump,Ice Beam,FALSE,Liechi Berry,Brave,31,70,Lum Berry,Lonely,31,74,Lum Berry,Naughty,31,71,Lum Berry,Calm,31,73,Salac Berry,Careful,31,72,Lum Berry,Hasty,31,70
Battle Girl Crissy,FALSE,Sootopolis Gym,Battle Girl Crissy - Sootopolis Gym,Medicham,Fake Out,Brick Break,Shadow Ball,Rock Slide,Azumarill,Muddy Water,Double-Edge,Superpower,Sing,Electabuzz,Thunder,Cross Chop,Ice Punch,Psychic,Feraligatr,Dragon Dance,Earthquake,Surf,Ice Beam,Scizor,Quick Attack,Signal Beam,Flash Cannon,Superpower,Poliwrath,Belly Drum,Earthquake,Rock Slide,Brick Break,FALSE,Lum Berry,Jolly,31,70,Lum Berry,Naive,31,74,Lum Berry,Naughty,31,72,Lum Berry,Hardy,31,74,Lum Berry,Modest,31,73,Lum Berry,Calm,31,74
Pkmn Breeder Bridget,FALSE,Sootopolis Gym,Pkmn Breeder Bridget - Sootopolis Gym,Mantine,Confuse Ray,Surf,Ice Beam,Air Slash,Quagsire,Yawn,Recover,Earthquake,Ancientpower,Tentacruel,Giga Drain,Ice Beam,Muddy Water,Sludge Bomb,Mr. Mime,Thunder,Psychic,Ice Punch,Fake Out,Forretress,Rock Slide,Earthquake,Signal Beam,Explosion,Blastoise,Water Spout,Yawn,Mirror Coat,Sleep Talk,FALSE,Lum Berry,Modest,31,74,Lum Berry,Brave,31,74,Lum Berry,Adamant,31,73,Lum Berry,Modest,31,72,Lum Berry,Timid,31,73,Leftovers,Hardy,31,73
Expert Annika,FALSE,Sootopolis Gym,Expert Annika - Sootopolis Gym,Gengar,Thunder,Giga Drain,Ice Punch,Destiny Bond,Omastar,Ice Beam,Surf,Ancientpower,Hydro Pump,Dragonite,Thunder,Ice Beam,Earthquake,Surf,Vaporeon,Sing,Signal Beam,Muddy Water,Ice Beam,Metagross,Meteor Mash,Sludge Bomb,Rock Slide,Earthquake,Golduck,Calm Mind,Surf,Ice Beam,Psychic,FALSE,Lum Berry,Hardy,31,74,Lum Berry,Naughty,31,75,Leftovers,Brave,31,73,Leftovers,Hardy,31,73,Lum Berry,Naughty,31,73,Leftovers,Hardy,31,75
Cooltrainer Olivia,FALSE,Sootopolis Gym,Cooltrainer Olivia - Sootopolis Gym,Gorebyss,Surf,Hydro Pump,Ice Beam,Psychic,Snorlax,Thunder,Earthquake,Body Slam,Shadow Ball,Kabutops,X-Scissors,Ancientpower,Earth Power,Muddy Water,Salamence,Dragon Claw,Hydro Pump,Air Slash,Earthquake,Raichu,Thunder,Signal Beam,Surf,Brick Break,Wailord,Water Spout,Ice Beam,Earthquake,Sleep Talk,FALSE,Lum Berry,Hardy,31,75,Lum Berry,Gentle,31,73,Lum Berry,Impish,31,76,Lum Berry,Rash,31,73,Lum Berry,Naughty,31,74,Leftovers,Hardy,31,75
Leader #1 Wallace,FALSE,Sootopolis Gym,Leader #1 Wallace - Sootopolis Gym,Kingdra,Octazooka,Ice Beam,Draco Meteor,HP Ground,Castform,Thunder,Ice Beam,Weather Ball (Water),HP Grass,Ludicolo,Surf,Giga Drain,Grasswhistle,Ice Beam,Swampert,Yawn,Earthquake,Ancientpower,Muddy Water,Lapras,Thunder,Surf,Ice Beam,HP Bug,Milotic,Hypnosis,Surf,Ice Beam,Recover,FALSE,Lum Berry,Calm,31,76,Lum Berry,Sassy,31,76,Lum Berry,Hardy,31,76,Lum Berry,Sassy,31,77,Lum Berry,Hardy,31,76,Lum Berry,Lonely,31,77
Leader #2 Juan,FALSE,Sootopolis Gym,Leader #2 Juan - Sootopolis Gym,Kingdra,Octazooka,Ice Beam,Draco Meteor,HP Ground,Lapras,Hydro Pump,Thunder,Ice Beam,HP Grass,Castform,Weather Ball (Water),Ice Beam,Thunder,HP Grass,Lanturn,Hydro Pump,Thunder,Ice Beam,HP Grass,Ludicolo,Hydro Pump,Giga Drain,Thunderpunch,Ice Beam,Vaporeon,Sing,Ice Beam,Hydro Pump,HP Grass,TRUE,Lum Berry,Naive,31,77,Lum Berry,Brave,31,76,Lum Berry,Modest,31,76,Lum Berry,Quiet,31,77,Lum Berry,Hardy,31,76,Lum Berry,Timid,31,77
Old Couple John & Jay,FALSE,Meteor Falls,Old Couple John & Jay - Meteor Falls,Aerodactyl,Earth Power,Air Slash,Ancientpower,Iron Tail,Tauros,Return,Iron Tail,HP Ghost,Earthquake,,,,,,,,,,,,,,,,,,,,,FALSE,Lum Berry,Quiet,31,75,Lum Berry,Relaxed,31,75,,,,,,,,,,,,,,,,
Dragon Tamer Nicolas,FALSE,Meteor Falls,Dragon Tamer Nicolas - Meteor Falls,Salamence,Dragon Dance,Air Slash,Earthquake,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Lum Berry,Hardy,31,76,,,,,,,,,,,,,,,,,,,,
Pokémaniac Gilbert,FALSE,Route 132,Pokémaniac Gilbert - Route 132,Sceptile,Frenzy Plant,,,,Typhlosion,Blast Burn,,,,Blastoise,Hydro Cannon,,,,,,,,,,,,,,,,,,,FALSE,Miracle Seed,Careful,31,99,Charcoal,Lonely,31,99,Mystic Water,Relaxed,31,99,,,,,,,,,,,,
SwimmerF Dana,FALSE,Route 132,SwimmerF Dana - Route 132,Azumarill,Body Slam,Waterfall,Ice Beam,Double-Edge,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Lonely,31,34,,,,,,,,,,,,,,,,,,,,
Fisherman Ronald,FALSE,Route 132,Fisherman Ronald - Route 132,Gyarados,Double-Edge,Body Slam,Hydro Pump,Bounce,Dragonite,Hydro Pump,Roar,Wing Attack,Double-Edge,Tentacruel,Sludge Bomb,Toxic,Confuse Ray,Hydro Pump,Quagsire,Earthquake,Muddy Water,Body Slam,Sludge Bomb,Kingler,Crabhammer,Crush Claw,X-Scissors,Superpower,Lanturn,Confuse Ray,Thunder Wave,Hydro Pump,Thunderbolt,FALSE,Quick Claw,Lax,31,66,Quick Claw,Mild,31,66,Quick Claw,Calm,31,66,Quick Claw,Timid,31,66,Quick Claw,Impish,31,69,Quick Claw,Hardy,31,66
Expert Paxton,FALSE,Route 132,Expert Paxton - Route 132,Alakazam,Psychic,Thunder Wave,Fire Punch,Ice Punch,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,King'S Rock,Gentle,31,66,,,,,,,,,,,,,,,,,,,,
Cooltrainer Darcy,FALSE,Route 132,Cooltrainer Darcy - Route 132,Snorlax,Curse,Rest,Snore,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Leftovers,Hasty,31,69,,,,,,,,,,,,,,,,,,,,
Expert Makayla,FALSE,Route 132,Expert Makayla - Route 132,Wobbuffet,Counter,Mirror Coat,Safeguard,Destiny Bond,Lapras,Hydro Pump,Roar,Double-Edge,Ice Beam,,,,,,,,,,,,,,,,,,,,,FALSE,,Timid,31,68,,Naughty,31,67,,,,,,,,,,,,,,,,
Cooltrainer Jonathan,FALSE,Route 132,Cooltrainer Jonathan - Route 132,Sceptile,Grasswhistle,Leaf Blade,Dragon Claw,Crunch,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Lum Berry,Hardy,31,69,,,,,,,,,,,,,,,,,,,,
Black Belt Kiyo,FALSE,Route 132,Black Belt Kiyo - Route 132,Medicham,Hi Jump Kick,Psychic,Reversal,Recover,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Choice Band,Hardy,31,67,,,,,,,,,,,,,,,,,,,,
SwimmerF Linda,FALSE,Route 133,SwimmerF Linda - Route 133,Cloyster,Selfdestruct,Ice Beam,Ice Shard,Hydro Pump,Grumpig,Psychic,Fire Punch,Signal Beam,Thunder Wave,,,,,,,,,,,,,,,,,,,,,FALSE,,Calm,31,67,,Careful,31,67,,,,,,,,,,,,,,,,
Expert Mollie,FALSE,Route 133,Expert Mollie - Route 133,Gardevoir,Psychic,Hypnosis,Fire Punch,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Lum Berry,Hardy,31,68,,,,,,,,,,,,,,,,,,,,
Expert Conor,FALSE,Route 133,Expert Conor - Route 133,Scyther,X-Scissors,HP Rock,Air Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Hardy,31,70,,,,,,,,,,,,,,,,,,,,
Bird Keeper Beck,FALSE,Route 133,Bird Keeper Beck - Route 133,Swellow,Facade,Endeavor,Aerial Ace,Air Slash,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Quiet,31,67,,,,,,,,,,,,,,,,,,,,
Cooltrainer Warren,FALSE,Route 133,Cooltrainer Warren - Route 133,Ditto,Transform,,,,Piloswine,Body Slam,Ice Beam,Ancientpower,Earthquake,,,,,,,,,,,,,,,,,,,,,FALSE,Lum Berry,Rash,31,70,Quick Claw,Modest,31,70,,,,,,,,,,,,,,,,
Cooltrainer Debra,FALSE,Route 133,Cooltrainer Debra - Route 133,Clefable,Follow Me,Softboiled,,,Togetic,Follow Me,Softboiled,,,Jumpluff,Follow Me,Synthesis,,,,,,,,,,,,,,,,,,FALSE,Lum Berry,Lax,31,99,Lum Berry,Bold,31,100,Lum Berry,Careful,31,99,,,,,,,,,,,,
Gentleman Franklin,FALSE,Route 133,Gentleman Franklin - Route 133,Ninjask,Swords Dance,Substitute,Silver Wind,Baton Pass,Marowak,Earthquake,Ancientpower,HP Bug,Return,Medicham,Focus Punch,Shadow Ball,HP Ground,Rock Tomb,,,,,,,,,,,,,,,,FALSE,Lum Berry,Naughty,31,100,Thick Club,Gentle,31,100,Lum Berry,Careful,31,100,,,,,,,,,,,,
SwimmerF Laurel,FALSE,Route 134,SwimmerF Laurel - Route 134,Luvdisc,Surf,Ice Beam,Attract,HP Electric,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Lum Berry,Relaxed,31,100,,,,,,,,,,,,,,,,,,,,
SwimmerM Jack,FALSE,Route 134,SwimmerM Jack - Route 134,Slowbro,Slack Off,Ice Punch,Psychic,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Hasty,31,67,,,,,,,,,,,,,,,,,,,,
Black Belt Hitoshi,FALSE,Route 134,Black Belt Hitoshi - Route 134,Heracross,Rock Slide,X-Scissors,Double-Edge,Brick Break,Blastoise,Bubblebeam,Body Slam,Ice Punch,Hydro Pump,,,,,,,,,,,,,,,,,,,,,FALSE,,Hardy,31,67,,Brave,31,68,,,,,,,,,,,,,,,,
Battle Girl Reyna,FALSE,Route 134,Battle Girl Reyna - Route 134,Granbull,Body Slam,Superpower,Shadow Ball,Double-Edge,Hariyama,Shadow Punch,Rock Slide,Body Slam,Superpower,,,,,,,,,,,,,,,,,,,,,FALSE,,Adamant,31,67,,Calm,31,67,,,,,,,,,,,,,,,,
Sailor Hudson,FALSE,Route 134,Sailor Hudson - Route 134,Walrein,Water Pulse,Double-Edge,Blizzard,Ice Beam,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Sassy,31,67,,,,,,,,,,,,,,,,,,,,
Dragon Tamer Aaron,FALSE,Route 134,Dragon Tamer Aaron - Route 134,Salamence,Dragon Claw,Air Slash,Earthquake,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Lum Berry,Quiet,31,70,,,,,,,,,,,,,,,,,,,,
Cooltrainer Marley,FALSE,Route 134,Cooltrainer Marley - Route 134,Gengar,Thunderbolt,Ice Punch,Giga Drain,Fire Punch,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Lum Berry,Hardy,31,70,,,,,,,,,,,,,,,,,,,,
Sailor Kelvin,FALSE,Route 134,Sailor Kelvin - Route 134,Hitmontop,Revenge,Rock Slide,Detect,Endeavor,Dewgong,Ice Beam,Hydro Pump,Drill Run,Ice Shard,,,,,,,,,,,,,,,,,,,,,FALSE,,Rash,31,67,,Modest,31,67,,,,,,,,,,,,,,,,
Bird Keeper Alex,FALSE,Route 134,Bird Keeper Alex - Route 134,Altaria,Air Slash,Dragon Claw,Roar,Heal Bell,Noctowl,Faint Attack,Extrasensory,Double-Edge,Sky Attack,,,,,,,,,,,,,,,,,,,,,FALSE,,Hasty,31,67,,Lonely,31,67,,,,,,,,,,,,,,,,
Psychic Cameron  + Aroma Lady Violet,TRUE,Route 123,Psychic Cameron  + Aroma Lady Violet - Route 123,Grumpig,Reflect,Psychic,Fire Punch,Thunderpunch,Solrock,Light Screen,Ancientpower,Earth Power,Shadow Ball,Hypno,Psychic,Reflect,Brick Break,Shadow Ball,Venomoth,Sleep Powder,Signal Beam,Psychic,Poison Fang,Meganium,Giga Drain,Ancientpower,Light Screen,Reflect,Vileplume,Sleep Powder,Stun Spore,Sludge Bomb,Giga Drain,TRUE,Quick Claw,Calm,31,74,Quick Claw,Mild,31,74,Quick Claw,Modest,31,74,Quick Claw,Naive,31,74,Quick Claw,Lax,31,74,Quick Claw,Hardy,31,74
Ninja Boy Jonas  + Collector Ed,TRUE,Route 123,Ninja Boy Jonas  + Collector Ed - Route 123,Shedinja,Protect,Shadow Ball,Signal Beam,Toxic,Weezing,Fire Blast,Gunk Shot,Shadow Ball,Destiny Bond,Jumpluff,Encore,Sleep Powder,Leech Seed,Protect,Wynaut,Destiny Bond,,,,Dugtrio,Earthquake,,,,Wobbuffet,Encore,Counter,Mirror Coat,Destiny Bond,TRUE,Lum Berry,Hardy,31,77,Salac Berry,Careful,31,74,Lum Berry,Modest,31,75,Quick Claw,Quiet,0,7,Choice Band,Naughty,31,74,Leftovers,Lax,31,74
Hex Maniac Kindra  + Guitarist Fernando,TRUE,Route 123,Hex Maniac Kindra  + Guitarist Fernando - Route 123,Misdreavus,Thunder,Hypnosis,Psychic,Shadow Ball,Gengar,Sludge Bomb,Thunder,Ice Punch,Hypnosis,Kingdra,Dragonbreath,Yawn,Octazooka,Ice Beam,Electrode,Thunder,Reflect,Explosion,Endure,Exploud,Hyper Voice,Earthquake,Teeter Dance,Water Pulse,Ludicolo,Giga Drain,Teeter Dance,Waterfall,Ice Beam,TRUE,Quick Claw,Naughty,31,74,Quick Claw,Hardy,31,74,Quick Claw,Lax,31,74,Liechi Berry,Quiet,31,74,Quick Claw,Lonely,31,74,Quick Claw,Modest,31,74
Bird Keeper Alberto  + Psychic Jacki,TRUE,Route 123,Bird Keeper Alberto  + Psychic Jacki - Route 123,Skarmory,Spikes,Protect,Drill Peck,Flash Cannon,Pelipper,Hydro Pump,Ice Beam,Air Slash,Mud Shot,Swellow,Sky Attack,Double-Edge,,,Starmie,Psychic,Thunder,Ice Beam,Hydro Pump,Metagross,Earthquake,Meteor Mash,Ice Punch,Thunderpunch,Claydol,Earthquake,,,,TRUE,Quick Claw,Lax,31,74,Quick Claw,Rash,31,74,Choice Band,Timid,31,74,Quick Claw,Lonely,31,74,Quick Claw,Hardy,31,74,Choice Band,Lax,31,74
Parasol Lady Kayley  + Bug Maniac Davis,TRUE,Route 123,Parasol Lady Kayley  + Bug Maniac Davis - Route 123,Castform,Hydro Pump,Ice Beam,Thunder,Rain Dance,Whiscash,Earth Power,Hydro Pump,Ice Beam,Rain Dance,Qwilfish,Destiny Bond,Sludge Bomb,Rain Dance,Shadow Ball,Heracross,Megahorn,Brick Break,Facade,Protect,Masquerain,Hydro Pump,Ice Beam,Giga Drain,Stun Spore,Scizor,Signal Beam,HP Rock,Brick Break,Protect,TRUE,Quick Claw,Jolly,31,74,Quick Claw,Lonely,31,74,Quick Claw,Quiet,31,74,Quick Claw,Timid,31,74,Quick Claw,Jolly,31,74,Quick Claw,Lax,31,74
Cooltrainer Wendy  + Cooltrainer Braxton,TRUE,Route 123,Cooltrainer Wendy  + Cooltrainer Braxton - Route 123,Mantine,Hydro Pump,Ice Beam,HP Grass,Confuse Ray,Dodrio,Drill Peck,Double-Edge,Quick Attack,HP Ground,Gyarados,HP Flying,Double-Edge,Protect,Hydro Pump,Raichu,Protect,Thunder,Signal Beam,Brick Break,Marowak,Protect,Earthquake,Ancientpower,HP Bug,Rhydon,Protect,Earthquake,Ancientpower,Megahorn,TRUE,Quick Claw,Rash,31,75,Quick Claw,Hasty,31,75,Quick Claw,Timid,31,75,Quick Claw,Hardy,31,75,Thick Club,Careful,31,75,Quick Claw,Hardy,31,77
Old Couple Miu & Yuki,FALSE,Route 123,Old Couple Miu & Yuki - Route 123,Slaking,Crush Claw,Superpower,Shadow Ball,Aerial Ace,Gengar,Skill Swap,Thunder,Psychic,Ice Punch,Starmie,Skill Swap,Psychic,Hydro Pump,Thunder,Flygon,Earth Power,Ancientpower,Signal Beam,Giga Drain,Ninjask,X-Scissors,Shadow Ball,HP Ground,Swords Dance,Alakazam,Skill Swap,Psychic,Thunderpunch,Ice Punch,TRUE,Quick Claw,Naive,31,75,Quick Claw,Impish,31,75,Quick Claw,Mild,31,75,Quick Claw,Sassy,31,75,Brightpowder,Jolly,31,75,Quick Claw,Careful,31,75
Cooltrainer Jazmyn  + Expert Frederick,TRUE,Route 123,Cooltrainer Jazmyn  + Expert Frederick - Route 123,Swellow,Toxic,Air Slash,Facade,HP Ground,Crobat,Toxic,Shadow Ball,Air Slash,HP Ground,Salamence,Toxic,Air Slash,Dragon Claw,Crunch,Ursaring,Facade,Earthquake,HP Ghost,Toxic,Heracross,Earthquake,Megahorn,Brick Break,Facade,Snorlax,Facade,Earthquake,Shadow Ball,Slack Off,TRUE,Quick Claw,Mild,31,76,Quick Claw,Gentle,31,76,Quick Claw,Impish,31,76,Quick Claw,Adamant,31,76,Quick Claw,Bold,31,76,Leftovers,Relaxed,31,76
Fisherman Wayne,FALSE,Route 128,Fisherman Wayne - Route 128,Gorebyss,Waterfall,Ice Beam,Psychic,HP Electric,Whiscash,Earthquake,Muddy Water,Ancientpower,Ice Beam,Crobat,Air Slash,Shadow Ball,Heat Wave,HP Ground,Castform,Hydro Pump,Fire Blast,Ice Beam,Thunderbolt,Exeggutor,Sleep Powder,Egg Bomb,Psychic,Ancientpower,,,,,,FALSE,Sea Incense,Hardy,31,70,Lum Berry,Hardy,31,71,Leftovers,Hardy,31,70,Leppa Berry,Quiet,31,70,Lum Berry,Hardy,31,71,,,,
Cooltrainer Ruben,FALSE,Route 128,Cooltrainer Ruben - Route 128,Skarmory,Spikes,Sky Attack,Flash Cannon,HP Ground,Flygon,Earthquake,Dragon Claw,Signal Beam,Flamethrower,Walrein,Ice Shard,Surf,Ice Beam,Earthquake,Banette,Shadow Ball,Thunder Wave,HP Fight,Shadow Sneak,Absol,Thunder Wave,Shadow Ball,Superpower,Rock Slide,Lunatone,Hypnosis,Psychic,Ice Beam,HP Electric,FALSE,Leftovers,Hardy,31,74,Lum Berry,Lax,31,71,Leftovers,Adamant,31,72,Spell Tag,Relaxed,31,73,Lum Berry,Gentle,31,74,Lum Berry,Lonely,31,74
Cooltrainer Alexa,FALSE,Route 128,Cooltrainer Alexa - Route 128,Solrock,Explosion,Ancientpower,Earthquake,Shadow Ball,Hariyama,Earthquake,HP Ghost,Superpower,Rock Slide,Manectric,Thunder Wave,Thunderbolt,Crunch,Flamethrower,Slaking,Hyper Beam,,,,Altaria,Dragon Dance,Sky Attack,Earthquake,HP Rock,Milotic,Toxic,Ice Beam,Waterfall,Recover,FALSE,Salac Berry,Adamant,31,74,Lum Berry,Hardy,31,74,Lum Berry,Careful,31,74,Choice Band,Hasty,31,74,Leftovers,Impish,31,74,Leftovers,Rash,31,70
Cooltrainer Albert,FALSE,Victory Road,Cooltrainer Albert - Victory Road,Ninjask,Substitute,Baton Pass,Double Team,X-Scissors,Marowak,Swords Dance,Earthquake,Double-Edge,Ancientpower,Ursaring,Swords Dance,Earthquake,Crush Claw,HP Ghost,Ampharos,Tail Glow,Thunderbolt,HP Grass,Fire Punch,Grumpig,Calm Mind,Psychic,Fire Punch,Thunderpunch,Medicham,Shadow Ball,Brick Break,Rock Slide,Bulk Up,FALSE,Leftovers,Timid,31,82,Thick Club,Impish,31,81,Leftovers,Sassy,31,81,Lum Berry,Modest,31,81,Leftovers,Quiet,31,81,Lum Berry,Hardy,31,81
Cooltrainer Hope,FALSE,Victory Road,Cooltrainer Hope - Victory Road,Smeargle,Spore,Ingrain,Baton Pass,Recover,Espeon,Calm Mind,Morning Sun,Psychic,Baton Pass,Umbreon,Mean Look,Baton Pass,Toxic,Wish,Jolteon,Thunderbolt,Substitute,HP Ice,Baton Pass,Vaporeon,Muddy Water,Ice Beam,Baton Pass,Wish,Solrock,Cosmic Power,Ancientpower,Morning Sun,Baton Pass,FALSE,Lum Berry,Hardy,31,83,Leftovers,Hardy,31,81,Leftovers,Quiet,31,81,Leftovers,Adamant,31,81,Leftovers,Calm,31,81,Leftovers,Hardy,31,81
Pkmn Trainer Wally,FALSE,Victory Road,Pkmn Trainer Wally - Victory Road,Meganium,Synthesis,Giga Drain,Earthquake,Ancientpower,Raichu,Volt Tackle,Extremespeed,Surf,HP Ice,Hitmontop,Mach Punch,Brick Break,Rock Slide,HP Ghost,Vaporeon,Muddy Water,HP Grass,Ice Beam,Quick Attack,Blissey,Counter,Softboiled,Seismic Toss,Psywave,Gardevoir,Calm Mind,Psychic,Fire Punch,Thunderbolt,FALSE,Lum Berry,Bold,31,85,Lum Berry,Naughty,31,85,Lum Berry,Gentle,31,85,Leftovers,Adamant,31,85,Leftovers,Naughty,31,85,Lum Berry,Timid,31,88
Expert Samuel,FALSE,Victory Road,Expert Samuel - Victory Road,Nidoking,Poison Tail,Earthquake,Shadow Ball,Ice Beam,Cradily,Confuse Ray,Giga Drain,Earthquake,Ancientpower,Jynx,Lovely Kiss,Ice Beam,Psychic,HP Fire,Feraligatr,Earthquake,HP Flying,Ice Beam,Hydro Pump,Lunatone,Calm Mind,Psychic,Ice Beam,HP Fire,Lanturn,Thunder Wave,Thunderbolt,Waterfall,Ice Beam,FALSE,Lum Berry,Lax,31,84,Leftovers,Hardy,31,84,Lum Berry,Hardy,31,84,Lum Berry,Jolly,31,85,Leftovers,Hardy,31,84,Leftovers,Lax,31,84
Expert Shannon,FALSE,Victory Road,Expert Shannon - Victory Road,Ditto,Transform,,,,Blastoise,Water Spout,Mirror Coat,Ice Beam,Yawn,Manectric,Thunder Wave,Flamethrower,Thunderbolt,HP Grass,Gligar,HP Flying,Rock Slide,Earthquake,Quick Attack,Venomoth,Sleep Powder,Signal Beam,HP Fire,Psychic,Tyranitar,Crunch,Ancientpower,HP Grass,Earthquake,FALSE,Lum Berry,Bold,31,87,Lum Berry,Impish,31,84,Lum Berry,Modest,31,84,Lum Berry,Relaxed,31,85,Lum Berry,Naughty,31,85,Lum Berry,Lonely,31,84
Pkmn Trainer Red,FALSE,Victory Road,Pkmn Trainer Red - Victory Road,Ho-Oh,Sacred Fire,Sky Attack,Recover,Earthquake,Mew,Softboiled,Psychic,Heat Wave,Signal Beam,Lapras,Ice Beam,Surf,Thunderbolt,Megahorn,Celebi,Recover,Giga Drain,Ancientpower,HP Fire,Snorlax,Shadow Ball,Earthquake,Body Slam,Counter,Dragonite,Extremespeed,HP Flying,Earthquake,Draco Meteor,FALSE,Lum Berry,Bold,31,87,Lum Berry,Lax,31,88,Leftovers,Quiet,31,89,Leftovers,Naive,31,88,Leftovers,Naughty,31,89,Lum Berry,Mild,31,89
